question_number,question,option_a,option_b,option_c,option_d,correct_answer
1,"La luz amarilla intermitente del semáforo indica:","Disminuir la marcha y circular con máxima precaución.","Prioridad de paso.","Prohibido pasar.","",a
2,"¿Quién tiene prioridad de paso en una rotonda?","El que intenta ingresar (entrar) a la misma.","El que está circulando por la misma.","","b
3,"La ""banda de detención"", que es la línea transversal ancha marcada sobre la calzada (pavimento), indica:","El cruce peatonal.","La obligación de detener el vehículo antes de esta línea.","Indica separación de carriles.","",b
4,"¿En curvas o pendientes qué indica la demarcación horizontal ""doble línea amarilla o blanca continua""?","Que puede adelantarse.","Que no se puede adelantar.","Que hay un obstáculo en el camino.","",b
5,"Está atravesando un cruce de avenidas sin semáforos a 30 Km/h, Ud. está:","Conduciendo demasiado despacio.","Conduciendo de acuerdo con el reglamento.","Sobrepasando el límite de velocidad.","",b
6,"En esta intersección [IMAGEN DE INTERSECCIÓN CON SEÑAL CEDA EL PASO], Ud. conduce el auto rojo, debe:","Detenerse obligatoriamente y ceder el paso a todos los vehículos (autos amarillo y verde).","Detenerse sólo para cederle el paso al auto amarillo.","","",a
7,"¿En intersecciones (bocacalles) semaforizadas debe avanzar con luz verde a su frente, si del otro lado de la intersección hay un embotellamiento de tránsito?","Es indiferente.","No.","Sí.","",b
8,"¿Quién tiene prioridad en una senda peatonal no regulada por agente de tránsito, ni por semáforo?","Los peatones en forma absoluta.","Los vehículos, ya que la senda peatonal obliga a los peatones a cruzar por ella, pero cuando el tránsito vehicular lo permita.","","",a
9,"¿Ante esta señal [IMAGEN DE SEÑAL PARE] cuál es la conducta a seguir?","Detener el vehículo en forma total.","Disminuir la marcha para observar el tránsito.","Continuar la marcha.","",a
10,"¿Cuál es la velocidad máxima de circulación en avenidas de la Ciudad de Córdoba?","40 Km/h.","60 Km/h.","80 Km/h.","",b
11,"¿Los vehículos que giran en una esquina regulada por semáforos deben detener la marcha para ceder el paso a los peatones que están por cruzar la calzada (pavimento)?","Sí, siempre que el peatón cruce con luz verde a su frente.","No, los vehículos tienen siempre prioridad.","","",a
12,"¿Qué debe hacer un conductor, antes de llegar a una intersección (esquina), si desea girar a la izquierda o a la derecha?","Advertir la maniobra con la luz de giro correspondiente, conduciendo el vehículo hacia el carril por el que pretende girar con una antelación de 20 m.","Advertir la maniobra con la luz de giro correspondiente, conduciendo el vehículo hacia el carril por el que pretende girar con una antelación de 30 m.","Advertir la maniobra con la luz de giro correspondiente, conduciendo el vehículo hacia el carril por el que pretende girar con una antelación de 10m.","",b
13,"¿Qué debe hacer Ud., si llegando a un cruce (esquina) en el que el semáforo se encuentra en luz roja, un inspector de tránsito le indica que continúe la marcha?","Indicarle al inspector que la luz está roja.","Obedecer la indicación del inspector.","Esperará que el semáforo indique la luz verde y entonces continuará.","",b
14,"¿Después de realizar un adelantamiento, tiene Ud. conductor la obligación de advertir con el guiño correspondiente la maniobra de retorno hacia el carril derecho?","Sí, siempre que se modifica la trayectoria de un vehículo es obligación colocar el guiño.","Sólo en horario nocturno.","No es obligatorio el uso del guiño para indicar esta maniobra.","",a
15,"Todo vehículo que se aproxima a un cruce NO semaforizado, debe ceder el paso a los peatones que inician el cruce de calzada. ¿Esto es obligatorio?:","Siempre.","Nunca.","Según las circunstancias.","",a
16,"Para advertir la inconveniencia del sobrepaso al vehículo que se nos quiera adelantar se pondrá:","Luz de giro derecha.","Luz de baliza.","Luz de giro izquierda.","",c
17,"¿Se puede circular con un vehículo sobre las líneas pintadas en el pavimento que separan carriles?","Sí.","No.","","",b
18,"¿Qué línea pintada en el pavimento me permite cambiar de carril?","La línea continua.","La línea discontinua (de trazos).","La línea doble continua.","",b
19,"¿La luz roja intermitente del semáforo qué significa?","Una señal de ""CEDA EL PASO"".","Una señal de ""PARE"".","Indica disminuir la velocidad.","",b
20,"¿Al circular por la vía pública conduciendo un automotor, debo portar la licencia de conducir en vigencia?","No.","Sí.","","",b
21,"¿Por qué lugar y en qué sentido deberá caminar el peatón en las zonas donde no hay vereda?","Fuera de la calzada (pavimento), en el sentido contrario a la circulación vehicular.","Sobre la calzada (pavimento), en el mismo sentido de la circulación vehicular.","Fuera de la calzada, en el mismo sentido de la circulación vehicular.","",a
22,"El triángulo que está pintado en la calzada (pavimento) indica: [IMAGEN DE TRIÁNGULO INVERTIDO PINTADO EN CALZADA]","El sentido de circulación de los vehículos.","Que circula por una avenida.","La obligación de ceder el paso.","",c
23,"¿En una intersección no regulada por señales, ni semáforos, ni agente de tránsito, qué vehículo tiene prioridad de paso? [IMAGEN DE INTERSECCIÓN CON DOS AUTOS]","El rojo.","El amarillo.","Es indistinto.","",a
24,"¿En la situación graficada, tratándose de un cruce NO semaforizado, quién tiene prioridad de paso? [IMAGEN DE PEATÓN EN SENDA PEATONAL]","El vehículo, porque siempre tiene prioridad en la calzada.","El peatón, ya que tiene intención de cruzar por la senda peatonal.","Es indiferente, ya que el vehículo puede pasar sorteando al peatón.","",b
25,"¿En la situación graficada, el vehículo celeste circula correctamente? [IMAGEN DE AUTO EN CARRIL IZQUIERDO EN RUTA DE DOS CARRILES]","Sí, puede circular por cualquier carril, ya que los dos son del mismo sentido.","Sí, es por donde debe circular para dejar el carril derecho a los más lentos.","No, porque debe circular por el carril derecho y utilizar el izquierdo sólo para efectuar el adelantamiento.","",c
26,"Al llegar a una intersección (esquina) sin señalizar, como conductor debo:","Ceder el paso a los vehículos que se presenten por la derecha.","Ceder el paso sólo a los vehículos que circulen por la vía más importante y principal.","Ceder el paso sólo a los vehículos que circulen a mayor velocidad que el mío.","",a
27,"¿En qué caso de los que se cita está permitido adelantarse?","En todas las intersecciones (esquinas).","En las rotondas.","En los pasos para peatones y sus proximidades, si la velocidad no es superior a 40 Km/h.","",b
28,"¿Qué línea pintada en el pavimento me prohíbe cambiar de carril?","Las continuas.","Las discontinuas (de trazos).","","",a
29,"¿En la situación graficada, puede adelantar el automóvil al ómnibus? [IMAGEN DE AUTO DETRÁS DE ÓMNIBUS EN INTERSECCIÓN]","Sí, porque el ómnibus es muy voluminoso y nos protege de otros vehículos.","No, porque en intersecciones está prohibido el adelantamiento.","Sí, pero dejando suficiente espacio lateral al adelantar.","",b
30,"¿Está permitido el adelantamiento por la derecha?","Sí, siempre que al adelantamiento lo efectúe por la banquina.","Sí, en calzadas de dos o más carriles con el mismo sentido, siempre que los que transiten por el carril izquierdo se encuentren momentáneamente detenidos.","Nunca.","",b
31,"Ud. circula por un carril que se encuentra pintado sobre el pavimento con una flecha que indica sólo posibilidad de girar a la derecha. Ud.:","Debe girar obligatoriamente a la derecha.","Puede continuar la marcha sin girar.","","",a
32,"¿En una intersección (esquina) semaforizada con luz roja a su frente, ante la indicación del agente de tránsito de avanzar, Ud. qué hace?","Detenerme, ya que el semáforo está en rojo.","Obedecer al agente de tránsito ya que sus órdenes prevalecen sobre las normas.","","",b
33,"En una intersección se presenta una bicicleta circulando por su derecha. ¿Ud. conductor de un automóvil, debe cederle el paso?","Sí, porque circula por la derecha.","No, el ciclista deberá cederme el paso porque es lento su vehículo.","No, el ciclista debe cederme el paso por cortesía.","",a
34,"¿En esta situación, qué debe hacer Ud. que conduce el auto rojo? [IMAGEN DE INTERSECCIÓN CON SEÑAL CEDA EL PASO]","Ceder el paso solamente al vehículo que se presenta por la derecha.","Detenerme y ceder el paso a ambos vehículos.","Ceder el paso al vehículo que se presenta por la izquierda.","",b
35,"¿En qué caso puede Ud. circular habiéndosele vencido el I.T.V. de su vehículo?","En ninguno.","Dentro de los 15 días posteriores al vencimiento.","","",a
36,"La luz del semáforo está roja, pero la flecha de giro derecho está en verde. Esto le indica: [IMAGEN DE SEMÁFORO]","Que debo detenerme cualquiera sea la dirección que vaya a seguir.","Que debo girar obligatoriamente a la derecha si estoy colocado en ese carril.","Que está prohibido girar a la derecha.","",b
37,"Si Ud. comete una infracción al realizar una maniobra de adelantamiento. ¿Puede ser requerido por el agente de tránsito para comprobar su grado de alcoholemia?","Sí, y tengo la obligación de someterme a tal comprobación.","Sí, pero sólo si produjera un accidente debería someterme a tal comprobación.","No, no es obligatorio someterme a tal comprobación.","",a
38,"¿Deberá Ud. ceder el paso a los vehículos de policía, bomberos o ambulancias?","Sí, porque siempre tienen prioridad de paso.","Sí, pero solamente en vías urbanas.","Sí, pero solamente cuando se circule en servicio de urgencia, y así lo señalicen con sus señales lumínicas (balizas) y acústicas (sirenas) en funcionamiento.","",c
39,"¿Deberá Ud. circular por la banquina para que otro conductor pueda adelantarle?","Sí, porque así tendrá más espacio y el adelantamiento se realizará con mayor seguridad.","Sí, pero solamente en vías de un sólo carril para cada sentido.","No, como norma general está prohibida la circulación por la banquina excepto situación de emergencia.","",c
